Rk_passing,Date,G#_passing,Week_passing,Age_passing,Tm_passing,Unnamed: 6_level_1_passing,Opp_passing,Result_passing,Cmp,Att_passing,Yds_passing,1D_passing,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC_passing,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk_rushing,G#_rushing,Week_rushing,Age_rushing,Tm_rushing,Unnamed: 6_level_1_rushing,Opp_rushing,Result_rushing,Att_rushing,Yds_rushing,TD,1D_rushing,YBC,YBC/Att,YAC_rushing,YAC/Att,BrkTkl,Att/Br,,Graph Metrics,Graph Totals,,Metrics,Totals,,Player,Year
1,9/10/2023,1,1,24.189,CHI,,GNB,L 20-38,24,37,216,12,29.3,113,3.1,86,3.6,2.3,130,5.4,2,5.60%,6,16.70%,4,14,4,1,9,18.80%,7,8.6,1,1,1,24.189,CHI,,GNB,L 20-38,9,59,0,2,42,4.7,17,1.9,4,2.3,,Games Played,13,,Team,Chicago Bears,,Fields,2023
2,9/17/2023,2,2,24.196,CHI,@,TAM,L 17-27,16,29,211,9,25.7,182,6.3,100,6.3,3.4,111,6.9,1,3.60%,5,17.90%,6,10,2,3,11,31.40%,0,,2,2,2,24.196,CHI,@,TAM,L 17-27,4,3,1,1,-2,-0.5,5,1.3,1,4,,Passing Attempts,370,,Games Played,13 Games,,,
3,9/24/2023,3,3,24.203,CHI,@,KAN,L 10-41,11,22,99,5,20,314,14.3,59,5.4,2.7,40,3.6,1,5.00%,6,30.00%,3,9,5,1,9,30.00%,5,5.2,3,3,3,24.203,CHI,@,KAN,L 10-41,11,47,0,4,35,3.2,12,1.1,0,,,Completions,227,,Record,5-8-0,,,
4,10/1/2023,4,4,24.21,CHI,,DEN,L 28-31,28,35,335,17,43.6,310,8.9,205,7.3,5.9,130,4.6,1,3.00%,0,0.00%,4,10,0,5,9,22.00%,2,11.5,4,4,4,24.21,CHI,,DEN,L 28-31,4,25,0,1,21,5.3,4,1,0,,,Passing Yards,2562,,Passing Attempts,370,,,
5,10/5/2023,5,5,24.214,CHI,@,WAS,W 40-20,15,29,282,9,28.1,266,9.2,125,8.3,4.3,157,10.5,0,0.00%,6,24.00%,3,12,7,5,15,45.50%,1,9,5,5,5,24.214,CHI,@,WAS,W 40-20,11,57,0,6,38,3.5,19,1.7,0,,,Rushing Yards,657,,Completions,227,,,
6,10/15/2023,6,6,24.224,CHI,,MIN,L 13-19,6,10,58,3,21.4,41,4.1,24,4,2.4,34,5.7,1,10.00%,2,20.00%,4,10,2,1,7,41.20%,3,8,6,6,6,24.224,CHI,,MIN,L 13-19,8,46,0,2,36,4.5,10,1.3,0,,,First Down Passes,121,,Completion Percentage,61%,,,
7,11/19/2023,11,11,24.259,CHI,@,DET,L 26-31,16,23,169,10,40,250,10.9,122,7.6,5.3,47,2.9,0,0.00%,4,18.20%,2,4,0,2,4,13.80%,4,12.5,7,11,11,24.259,CHI,@,DET,L 26-31,18,104,0,4,76,4.2,28,1.6,1,18,,,,,Passing Yards,2562,,,
8,11/27/2023,12,12,24.267,CHI,@,MIN,W 12-10,27,37,217,12,30,100,2.7,54,2,1.5,163,6,0,0.00%,2,6.30%,3,22,9,2,14,31.80%,4,4.8,8,12,12,24.267,CHI,@,MIN,W 12-10,12,59,0,4,50,4.2,9,0.8,1,12,,,,,Average Yards Per Completion,11.29,,,
9,12/10/2023,13,14,24.28,CHI,,DET,W 28-13,19,33,223,10,27.8,244,7.4,130,6.8,3.9,93,4.9,3,9.70%,5,16.10%,3,9,3,5,11,27.50%,4,11.5,9,13,14,24.28,CHI,,DET,W 28-13,12,58,1,4,23,1.9,35,2.9,0,,,,,,First Down Passes,121,,,
10,12/17/2023,14,15,24.287,CHI,@,CLE,L 17-20,19,40,166,6,14,432,10.8,70,3.7,1.8,96,5.1,2,5.40%,10,27.00%,3,17,0,5,8,17.80%,2,5.5,10,14,15,24.287,CHI,@,CLE,L 17-20,7,30,0,2,28,4,2,0.3,0,,,,,,First Down Percentage,53%,,,
11,12/24/2023,15,16,24.294,CHI,,ARI,W 27-16,15,27,170,8,28.6,284,10.5,135,9,5,35,2.3,1,4.00%,3,12.00%,1,8,7,1,9,27.30%,5,9.6,11,15,16,24.294,CHI,,ARI,W 27-16,9,97,1,5,64,7.1,33,3.7,0,,,,,,Rushing Yards,657,,,
12,12/31/2023,16,17,24.301,CHI,,ATL,W 37-17,20,32,268,12,34.3,288,9,136,6.8,4.3,132,6.6,1,3.30%,7,23.30%,3,14,3,2,8,21.10%,3,11,12,16,17,24.301,CHI,,ATL,W 37-17,11,45,1,4,22,2,23,2.1,2,5.5,,,,,Touchdowns,4,,,
13,1/7/2024,17,18,24.308,CHI,@,GNB,L 9-17,11,16,148,8,38.1,142,8.9,92,8.4,5.8,56,5.1,0,0.00%,2,12.50%,5,4,2,0,7,29.20%,3,4.7,13,17,18,24.308,CHI,@,GNB,L 9-17,8,27,0,4,14,1.8,13,1.6,0,,,,,,,,,,
Totals,13 Games,,,,,,,5/8/2000,227,370,2562,121,29.2,2966,8,1338,5.9,3.6,1224,5.4,13,3.80%,58,16.80%,44,143,44,33,121,26.50%,43,8.4,,,,,,,,5/8/2000,124,657,4,43,447,3.6,210,1.7,9,13.8,,,,,,,,,
