Rk_passing,Year_passing,Date,G#_passing,Week_passing,Age_passing,Tm_passing,Unnamed: 7_level_1_passing,Opp_passing,Result_passing,Cmp,Att_passing,Yds_passing,1D_passing,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC_passing,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk_rushing,Year_rushing,G#_rushing,Week_rushing,Age_rushing,Tm_rushing,Unnamed: 7_level_1_rushing,Opp_rushing,Result_rushing,Att_rushing,Yds_rushing,TD,1D_rushing,YBC,YBC/Att,YAC_rushing,YAC/Att,BrkTkl,Att/Br,,Graph Metrics,Graph Totals,,Metrics,Totals
1,2021,9/12/2021,1,1,22.191,CHI,@,LAR,L 14-34,2,2,10,0,0,6,3,6,3,3,4,2,0,0.00%,0,0.00%,0,1,0,0,0,0.00%,0,,1,2021,1,1,22.191,CHI,@,LAR,L 14-34,1,3,1,1,1,1,2,2,0,,,Games Played,46,,Games Played,46 Games
2,2021,9/19/2021,2,2,22.198,CHI,,CIN,W 20-17,6,13,60,3,20,140,10.8,45,7.5,3.5,15,2.5,1,7.70%,4,30.80%,2,8,1,1,4,21.10%,4,7.3,2,2021,2,2,22.198,CHI,,CIN,W 20-17,10,31,0,2,16,1.6,15,1.5,2,5,,Passing Attempts,1118,,Record,15-31-0
3,2021,9/26/2021,3,3,22.205,CHI,@,CLE,L 6-26,6,20,68,2,6.9,105,5.3,20,3.3,1,48,8,0,0.00%,7,36.80%,9,5,0,4,13,43.30%,1,7,3,2021,3,3,22.205,CHI,@,CLE,L 6-26,3,12,0,0,12,4,0,0,0,,,Completions,684,,Passing Attempts,1118
4,2021,10/3/2021,4,4,22.212,CHI,,DET,W 24-14,11,17,209,5,27.8,232,13.6,150,13.6,8.8,59,5.4,0,0.00%,5,29.40%,1,8,3,1,5,26.30%,1,11,4,2021,4,4,22.212,CHI,,DET,W 24-14,3,9,0,1,9,3,0,0,0,,,Passing Yards,7780,,Completions,684
5,2021,10/10/2021,5,5,22.219,CHI,@,LVR,W 20-9,12,20,111,7,31.8,195,9.8,64,5.3,3.2,47,3.9,0,0.00%,5,26.30%,2,7,1,4,7,30.40%,1,3,5,2021,5,5,22.219,CHI,@,LVR,W 20-9,3,4,0,0,2,0.7,2,0.7,0,,,Rushing Yards,2451,,Completion Percentage,61%
6,2021,10/17/2021,6,6,22.226,CHI,,GNB,L 14-24,16,27,174,10,32.3,327,12.1,124,7.8,4.6,50,3.1,2,8.00%,7,28.00%,4,5,3,0,7,19.40%,5,8.6,6,2021,6,6,22.226,CHI,,GNB,L 14-24,6,43,0,3,19,3.2,24,4,0,,,First Down Passes,340,,Passing Yards,7780
7,2021,10/24/2021,7,7,22.233,CHI,@,TAM,L 3-38,22,32,184,11,30.6,206,6.4,74,3.4,2.3,110,5,5,16.10%,3,9.70%,4,16,3,2,9,20.90%,7,5.4,7,2021,7,7,22.233,CHI,@,TAM,L 3-38,8,38,0,1,26,3.3,12,1.5,0,,,,,,Average Yards Per Completion,11.37
8,2021,10/31/2021,8,8,22.24,CHI,,SFO,L 22-33,19,27,175,10,32.3,281,10.4,117,6.2,4.3,58,3.1,0,0.00%,7,25.90%,4,13,3,1,8,20.50%,8,11.1,8,2021,8,8,22.24,CHI,,SFO,L 22-33,10,103,1,5,57,5.7,46,4.6,2,5,,,,,First Down Passes,340
9,2021,11/8/2021,9,9,22.248,CHI,@,PIT,L 27-29,17,29,291,11,34.4,442,15.2,244,14.4,8.4,47,2.8,1,3.40%,7,24.10%,3,10,1,5,9,24.30%,5,5.8,9,2021,9,9,22.248,CHI,@,PIT,L 27-29,8,45,0,2,43,5.4,2,0.3,0,,,,,,First Down Percentage,30%
10,2021,11/21/2021,10,11,22.261,CHI,,BAL,L 13-16,4,11,79,4,30.8,156,14.2,73,18.3,6.6,6,1.5,1,10.00%,3,30.00%,2,4,1,3,6,42.90%,1,6,10,2021,10,11,22.261,CHI,,BAL,L 13-16,4,23,0,0,17,4.3,6,1.5,0,,,,,,Rushing Yards,2451
