Rk_passing,Date,G#_passing,Week_passing,Age_passing,Tm_passing,Unnamed: 6_level_1_passing,Opp_passing,Result_passing,Cmp,Att_passing,Yds_passing,1D_passing,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC_passing,YAC/Cmp,Drops,Drop%_passing,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk_rushing,G#_rushing,Week_rushing,Age_rushing,Tm_rushing,Unnamed: 6_level_1_rushing,Opp_rushing,Result_rushing,Att_rushing,Yds_rushing,TD,1D_rushing,YBC,YBC/Att,YAC_rushing,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds_rushing,TD,1D_rushing,YBC,YBC/R,YAC_rushing,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%_rushing,Int,Rat,,Graph Metrics,Graph Totals,,Metrics,Wilson Totals,Fields Totals,Leader,,Player,Year
1,9/12/2022,1,1,33.287,DEN,@,SEA,L 16-17,29,42,340,13,29.5,275,6.5,110,3.8,2.6,230,7.9,2,4.90%,6,14.60%,2,9,8,6,16,35.60%,1,2,1,1,1,33.287,DEN,@,SEA,L 16-17,1,2,0,0,0,0,2,2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Games Played,15,,Team,Denver Broncos,Chicago Bears,N/A,,Wilson,2022
2,9/18/2022,2,2,33.293,DEN,,HOU,W 16-9,14,31,219,11,32.4,276,8.9,150,10.7,4.8,69,4.9,3,10.70%,6,21.40%,3,10,3,3,9,25.70%,1,4,2,2,2,33.293,DEN,,HOU,W 16-9,2,3,0,0,3,1.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Passing Attempts,483,,Games Played,15 Games,15 Games,Tie,,,
3,9/25/2022,3,3,33.3,DEN,,SFO,W 11-10,20,33,184,8,21.6,246,7.5,95,4.8,2.9,89,4.5,3,9.40%,5,15.60%,4,8,5,5,14,35.00%,3,6.7,3,3,3,33.3,DEN,,SFO,W 11-10,6,17,0,1,16,2.7,1,0.2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Completions,292,,Record,4-11-0,3-12-0,Wilson,,,
4,10/2/2022,4,4,33.307,DEN,@,LVR,L 23-32,17,25,237,7,25,284,11.4,167,9.8,6.7,70,4.1,4,16.00%,3,12.00%,3,5,0,2,5,16.10%,3,8.7,4,4,4,33.307,DEN,@,LVR,L 23-32,4,29,1,2,25,6.3,4,1,0,,1,1,1,0,0,-1,-1,2,2,-1,0,,0,0,0,79.2,,Passing Yards,3524,,Passing Attempts,483,318,Wilson,,,
5,10/6/2022,5,5,33.311,DEN,,IND,L 9-12,21,39,274,11,25.6,366,9.4,98,4.7,2.5,176,8.4,3,8.10%,6,16.20%,4,8,3,3,10,22.20%,2,12,5,5,5,33.311,DEN,,IND,L 9-12,4,22,0,1,22,5.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Rushing Yards,277,,Completions,292,192,Wilson,,,
6,10/17/2022,6,6,33.322,DEN,@,LAC,L 16-19,15,28,188,8,25,267,9.5,116,7.7,4.1,72,4.8,0,0.00%,7,28.00%,4,15,4,2,10,29.40%,2,5,6,6,6,33.322,DEN,@,LAC,L 16-19,4,23,0,1,19,4.8,4,1,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,First Down Passes,142,,Completion Percentage,60%,60%,Tie,,,
7,10/30/2022,8,8,33.335,DEN,@,JAX,W 21-17,18,30,252,11,33.3,340,11.3,131,7.3,4.4,121,6.7,1,3.80%,3,11.50%,3,5,1,4,8,22.90%,2,7,7,8,8,33.335,DEN,@,JAX,W 21-17,4,17,0,3,14,3.5,3,0.8,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,Passing Yards,3524,2242,Wilson,,,
8,11/13/2022,9,10,33.349,DEN,@,TEN,L 10-17,21,42,286,10,20.8,435,10.4,109,5.2,2.6,177,8.4,2,5.60%,6,16.70%,6,5,1,12,19,38.80%,1,9,8,9,10,33.349,DEN,@,TEN,L 10-17,7,8,0,2,6,0.9,2,0.3,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,Average Yards Per Completion,12.07,11.68,Wilson,,,
9,11/20/2022,10,11,33.356,DEN,,LVR,L 16-22,24,31,247,11,32.4,205,6.6,90,3.8,2.9,157,6.5,1,3.60%,3,10.70%,3,13,2,7,12,34.30%,1,8,9,10,11,33.356,DEN,,LVR,L 16-22,1,8,0,0,8,8,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,First Down Passes,142,91,Wilson,,,
10,11/27/2022,11,12,33.363,DEN,@,CAR,L 10-23,19,35,142,8,21.1,366,10.5,90,4.7,2.6,52,2.7,3,9.40%,6,18.80%,3,11,3,8,14,35.00%,2,4,10,11,12,33.363,DEN,@,CAR,L 10-23,2,8,0,0,8,4,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,First Down Percentage,26.4,24.4,Wilson,,,
11,12/4/2022,12,13,34.005,DEN,@,BAL,L 9-10,17,22,189,7,29.2,223,10.1,137,8.1,6.2,52,3.1,1,4.80%,2,9.50%,2,9,5,1,8,30.80%,2,10.5,11,12,13,34.005,DEN,@,BAL,L 9-10,2,21,0,1,20,10,1,0.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,Rushing Yards,277,1143,Fields,,,
12,12/11/2022,13,14,34.012,DEN,,KAN,L 28-34,23,36,247,9,21.4,161,4.5,77,3.3,2.1,170,7.4,3,8.60%,5,14.30%,6,11,0,2,8,17.80%,3,14.7,12,13,14,34.012,DEN,,KAN,L 28-34,4,57,0,3,57,14.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,Touchdowns,3,8,Fields,,,
13,12/25/2022,15,16,34.026,DEN,@,LAR,L 14-51,15,27,214,8,24.2,318,11.8,156,10.4,5.8,58,3.9,1,3.80%,4,15.40%,6,11,3,3,12,35.30%,1,15,13,15,16,34.026,DEN,@,LAR,L 14-51,2,17,0,2,16,8,1,0.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,,,,
14,1/1/2023,16,17,34.033,DEN,@,KAN,L 24-27,26,38,222,12,28.6,192,5.1,86,3.3,2.3,136,5.2,3,8.60%,1,2.90%,4,6,3,5,12,27.90%,1,4,14,16,17,34.033,DEN,@,KAN,L 24-27,4,27,2,3,27,6.8,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,,,,
15,1/8/2023,17,18,34.04,DEN,,LAC,W 31-28,13,24,283,8,30.8,316,13.2,191,14.7,8,92,7.1,0,0.00%,7,30.40%,2,12,1,2,5,17.20%,3,3,15,17,18,34.04,DEN,,LAC,W 31-28,8,18,0,2,15,1.9,3,0.4,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,,,,
,15 Games,,,,,,,4/11/2000,292,483,3524,142,26.4,4270,8.8,1803,6.2,3.7,1721,5.9,30,6.70%,70,15.60%,55,138,42,65,162,28.60%,28,7.8,,,,,,,,4/11/2000,55,277,3,21,256,4.7,21,0.4,0,,1,1,1,0,0,-1,-1,2,2,-1,0,,0,0,0,79.2,,,,,,,,,,,
