Rk_passing,Year_passing,Date,G#_passing,Week_passing,Age_passing,Tm_passing,Unnamed: 7_level_1_passing,Opp_passing,Result_passing,Cmp,Att_passing,Yds_passing,1D_passing,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC_passing,YAC/Cmp,Drops,Drop%_passing,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk_rushing,Year_rushing,G#_rushing,Week_rushing,Age_rushing,Tm_rushing,Unnamed: 7_level_1_rushing,Opp_rushing,Result_rushing,Att_rushing,Yds_rushing,TD,1D_rushing,YBC,YBC/Att,YAC_rushing,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds_rushing,TD,1D_rushing,YBC,YBC/R,YAC_rushing,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%_rushing,Int,Rat,,Graph Metrics,Graph Totals,,Metrics,Wilson Totals,Fields Totals,Leader
1,2018,9/9/2018,1,1,29.284,SEA,@,DEN,L 24-27,19,33,298,10,25.6,337,10.2,141,7.4,4.3,157,8.3,2,6.10%,7,21.20%,6,9,6,4,16,40.00%,1,5,1,2018,1,1,29.284,SEA,@,DEN,L 24-27,2,5,0,0,5,2.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Games Played,92,,Games Played,92 Games,46 Games,Wilson
2,2018,9/17/2018,2,2,29.292,SEA,@,CHI,L 17-24,22,36,226,10,23.8,289,8,158,7.2,4.4,68,3.1,1,3.00%,6,18.20%,6,5,12,2,20,44.40%,3,5.7,2,2018,2,2,29.292,SEA,@,CHI,L 17-24,3,17,0,2,9,3,8,2.7,1,3,0,0,0,0,0,0,,0,,,0,,0,0,,,,Passing Attempts,2831,,Record,50-42-0,15-31-0,Wilson
3,2018,9/23/2018,3,3,29.298,SEA,,DAL,W 24-13,16,26,192,10,35.7,241,9.3,108,6.8,4.2,84,5.3,2,8.30%,3,12.50%,2,8,4,4,10,35.70%,0,,3,2018,3,3,29.298,SEA,,DAL,W 24-13,2,-1,0,0,-1,-0.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Completions,1853,,Passing Attempts,2831,1118,Wilson
4,2018,9/30/2018,4,4,29.305,SEA,@,ARI,W 20-17,19,26,172,6,21.4,136,5.2,81,4.3,3.1,91,4.8,1,4.30%,3,13.00%,2,11,6,1,9,30.00%,2,5.5,4,2018,4,4,29.305,SEA,@,ARI,W 20-17,4,21,0,2,21,5.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Passing Yards,21477,,Completions,1853,684,Wilson
5,2018,10/7/2018,5,5,29.312,SEA,,LAR,L 31-33,13,21,198,9,39.1,240,11.4,139,10.7,6.6,59,4.5,0,0.00%,1,5.30%,2,4,6,1,9,39.10%,0,,5,2018,5,5,29.312,SEA,,LAR,L 31-33,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Rushing Yards,2032,,Completion Percentage,65%,61%,Wilson
6,2018,10/14/2018,6,6,29.319,SEA,@,OAK,W 27-3,17,23,222,11,45.8,224,9.7,134,7.9,5.8,88,5.2,1,4.50%,1,4.50%,1,1,0,2,3,11.50%,2,7,6,2018,6,6,29.319,SEA,@,OAK,W 27-3,6,20,0,1,9,1.5,11,1.8,1,6,0,0,0,0,0,0,,0,,,0,,0,0,,,,First Down Passes,971,,Passing Yards,21477,7780,Wilson
7,2018,10/28/2018,7,8,29.333,SEA,@,DET,W 28-14,14,17,248,11,57.9,187,11,184,13.1,10.8,64,4.6,0,0.00%,3,17.60%,2,9,2,1,5,26.30%,0,,7,2018,7,8,29.333,SEA,@,DET,W 28-14,2,15,0,1,15,7.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,Average Yards Per Completion,11.59,11.37,Wilson
8,2018,11/4/2018,8,9,29.34,SEA,,LAC,L 17-25,26,39,235,10,23.3,234,6,105,4,2.7,130,5,1,2.70%,8,21.60%,4,6,3,3,10,21.30%,4,10,8,2018,8,9,29.34,SEA,,LAC,L 17-25,5,41,0,3,33,6.6,8,1.6,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,First Down Passes,971,340,Wilson
9,2018,11/11/2018,9,10,29.347,SEA,@,LAR,L 31-36,17,26,176,9,30,217,8.3,114,6.7,4.4,62,3.6,1,4.20%,4,16.70%,4,6,4,3,11,29.70%,7,9.9,9,2018,9,10,29.347,SEA,@,LAR,L 31-36,9,92,0,6,88,9.8,4,0.4,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,First Down Percentage,34%,30%,Wilson
10,2018,11/15/2018,10,11,29.351,SEA,,GNB,W 27-24,21,31,225,12,35.3,313,10.1,157,7.5,5.1,68,3.2,2,6.90%,3,10.30%,3,15,1,0,4,11.80%,0,,10,2018,10,11,29.351,SEA,,GNB,W 27-24,5,17,0,1,17,3.4,0,0,0,,1,1,-11,0,0,-10,-10,-1,-1,-10,0,,0,0,0,79.2,,,,,Rushing Yards,2032,2451,Fields
